Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-01-03T14:30:00Z,AAPL,0,53,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,AAPL,0,-55,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,MSFT,0,26,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,MSFT,0,-27,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,GOOGL,0,71,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,GOOGL,0,-74,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,AAPL,0,53,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,AAPL,0,-55,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,MSFT,0,26,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,MSFT,0,-27,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,GOOGL,0,71,Stop Limit,Canceled,0,"" 
2024-01-04T14:30:00Z,GOOGL,0,-73,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,AAPL,0,54,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,AAPL,0,-56,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,MSFT,0,27,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,MSFT,0,-28,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,GOOGL,0,72,Stop Limit,Canceled,0,"" 
2024-01-05T14:30:00Z,GOOGL,0,-75,Stop Limit,Canceled,0,"" 
2024-01-08T14:30:00Z,AAPL,183.24854856,54,Stop Limit,Filled,9895.42162224,"" 
2024-01-08T14:30:00Z,AAPL,0,-56,Stop Limit,Canceled,0,"" 
2024-01-08T14:30:00Z,MSFT,0,26,Stop Limit,Canceled,0,"" 
2024-01-08T14:30:00Z,MSFT,0,-28,Stop Limit,Canceled,0,"" 
2024-01-08T14:30:00Z,GOOGL,137.581083353,72,Stop Limit,Filled,9905.838001416,"" 
2024-01-08T14:30:00Z,GOOGL,0,-75,Stop Limit,Canceled,0,"" 
2024-01-08T19:12:00Z,AAPL,192.41,-54,Limit,Filled,-10390.14,"" 
2024-01-08T19:12:00Z,AAPL,0,-54,Stop Limit,Canceled,0,"" 
2024-01-08T19:29:00Z,GOOGL,144.46,-72,Limit,Filled,-10401.12,"" 
2024-01-08T19:29:00Z,GOOGL,0,-72,Stop Limit,Canceled,0,"" 
2024-01-09T14:30:00Z,MSFT,0,26,Stop Limit,Canceled,0,"" 
2024-01-09T14:30:00Z,MSFT,0,-27,Stop Limit,Canceled,0,"" 
2024-01-10T14:30:00Z,MSFT,378.257401494,26,Stop Limit,Filled,9834.692438844,"" 
2024-01-10T14:30:00Z,MSFT,0,-27,Stop Limit,Canceled,0,"" 
2024-01-10T19:13:00Z,MSFT,397.17,-26,Limit,Filled,-10326.42,"" 
2024-01-10T19:13:00Z,MSFT,0,-26,Stop Limit,Canceled,0,"" 
2024-01-22T14:30:00Z,GOOGL,0,67,Stop Limit,Canceled,0,"" 
2024-01-22T14:30:00Z,GOOGL,0,-70,Stop Limit,Canceled,0,"" 
2024-01-23T14:30:00Z,AAPL,0,51,Stop Limit,Canceled,0,"" 
2024-01-23T14:30:00Z,AAPL,0,-53,Stop Limit,Canceled,0,"" 
2024-01-23T14:30:00Z,GOOGL,0,67,Stop Limit,Canceled,0,"" 
2024-01-23T14:30:00Z,GOOGL,0,-70,Stop Limit,Canceled,0,"" 
2024-01-24T14:30:00Z,AAPL,0,50,Stop Limit,Canceled,0,"" 
2024-01-24T14:30:00Z,AAPL,0,-52,Stop Limit,Canceled,0,"" 
2024-01-24T14:30:00Z,GOOGL,0,67,Stop Limit,Canceled,0,"" 
2024-01-24T14:30:00Z,GOOGL,0,-69,Stop Limit,Canceled,0,"" 
2024-01-25T14:30:00Z,AAPL,0,50,Stop Limit,Canceled,0,"" 
2024-01-25T14:30:00Z,AAPL,0,-52,Stop Limit,Canceled,0,"" 
2024-01-25T14:30:00Z,MSFT,0,24,Stop Limit,Canceled,0,"" 
2024-01-25T14:30:00Z,MSFT,0,-25,Stop Limit,Canceled,0,"" 
2024-01-25T14:30:00Z,GOOGL,150.601281164,66,Stop Limit,Filled,9939.684556824,"" 
