Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-01-03T14:30:00Z,GS,365.52,-2,Stop Limit,Filled,-731.04, 
2024-01-03T14:30:00Z,HD,323.76,-3,Stop Limit,Filled,-971.28, 
2024-01-03T14:30:00Z,NKE,100.9914624,-9,Stop Limit,Filled,-908.9231617, 
2024-01-03T15:37:00Z,HD,333.5225829,3,Stop Market,Filled,1000.567749, 
2024-01-04T14:30:00Z,AMZN,145.3,-6,Stop Limit,Filled,-871.8, 
2024-01-04T14:30:00Z,NFLX,479.68,2,Stop Limit,Filled,959.36, 
2024-01-04T14:30:00Z,BAC,32.76573408,30,Stop Limit,Filled,982.9720224, 
2024-01-04T14:30:00Z,PFE,26.05937165,-38,Stop Limit,Filled,-990.2561228, 
2024-01-04T14:31:00Z,AMZN,149.66,6,Stop Market,Filled,897.96, 
2024-01-05T14:30:00Z,NVDA,48.9737213,20,Stop Limit,Filled,979.474426, 
2024-01-05T14:30:00Z,UNH,516.8910159,-1,Stop Limit,Filled,-516.8910159, 
2024-01-05T15:32:00Z,NVDA,51.42,-20,Limit,Filled,-1028.4, 
2024-01-08T14:30:00Z,AAPL,183.2485486,5,Stop Limit,Filled,916.2427428, 
2024-01-08T14:30:00Z,GOOGL,137.5810834,7,Stop Limit,Filled,963.0675835, 
2024-01-08T14:30:00Z,XOM,94.51724219,-10,Stop Limit,Filled,-945.1724219, 
2024-01-09T14:30:00Z,GS,374.0296704,2,Market,Filled,748.0593408,TimeStop_D+4 
2024-01-09T14:30:00Z,NKE,100.1794319,9,Market,Filled,901.614887,TimeStop_D+4 
2024-01-09T14:30:00Z,NVDA,53.29,18,Stop Limit,Filled,959.22, 
2024-01-09T14:30:00Z,TSLA,235.52,-4,Stop Limit,Filled,-942.08, 
2024-01-09T14:30:00Z,DIS,88.4673641,-11,Stop Limit,Filled,-973.141005, 
2024-01-09T14:49:00Z,TSLA,220.03,4,Limit,Filled,880.12, 
2024-01-10T14:30:00Z,NFLX,482,-2,Market,Filled,-964,TimeStop_D+4 
2024-01-10T14:30:00Z,BAC,32.22921914,-30,Market,Filled,-966.8765741,TimeStop_D+4 
2024-01-10T14:30:00Z,PFE,26.2829421,38,Market,Filled,998.7517999,TimeStop_D+4 
2024-01-10T14:30:00Z,MSFT,378.2574015,2,Stop Limit,Filled,756.514803, 
2024-01-10T14:30:00Z,AMZN,154.42,6,Stop Limit,Filled,926.52, 
2024-01-10T14:30:00Z,HD,338.7368686,2,Stop Limit,Filled,677.4737371, 
2024-01-11T14:30:00Z,UNH,520.1027208,1,Market,Filled,520.1027208,TimeStop_D+4 
2024-01-11T14:30:00Z,META,360.9747099,-2,Stop Limit,Filled,-721.9494198, 
2024-01-11T14:30:00Z,NFLX,488.54,2,Stop Limit,Filled,977.08, 
2024-01-11T14:30:00Z,BAC,31.52983358,-31,Stop Limit,Filled,-977.4248411, 
2024-01-11T14:30:00Z,NKE,102.2578433,9,Stop Limit,Filled,920.3205901, 
2024-01-11T14:30:00Z,PFE,25.37,-39,Stop Limit,Filled,-989.43, 
2024-01-11T16:24:00Z,META,371.8,2,Stop Market,Filled,743.6, 
2024-01-11T20:48:00Z,NKE,99.19,-9,Stop Market,Filled,-892.71, 
