Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-01-03T14:30:00Z,AAPL,0,5,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,AAPL,0,-5,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,MSFT,0,2,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,MSFT,0,-2,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,GOOGL,0,7,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,GOOGL,0,-7,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,AMZN,0,6,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,AMZN,0,-6,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,META,0,2,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,META,0,-2,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,NVDA,0,20,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,NVDA,0,-21,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,TSLA,0,3,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,TSLA,0,-4,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,NFLX,0,2,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,NFLX,0,-2,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,JPM,0,5,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,JPM,0,-6,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,BAC,0,30,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,BAC,0,-31,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,GS,0,2,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,GS,365.52,-2,Stop Limit,Filled,-731.04,"" 
2024-01-03T14:30:00Z,V,0,3,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,V,0,-3,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,WMT,0,18,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,WMT,0,-19,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,HD,0,2,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,HD,323.76,-3,Stop Limit,Filled,-971.28,"" 
2024-01-03T14:30:00Z,NKE,0,9,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,NKE,100.99146241,-9,Stop Limit,Filled,-908.92316169,"" 
2024-01-03T14:30:00Z,DIS,0,10,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,DIS,0,-11,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,JNJ,0,6,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,JNJ,0,-6,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,PFE,0,36,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,PFE,0,-38,Stop Limit,Canceled,0,"" 
2024-01-03T14:30:00Z,UNH,0,1,Stop Limit,Canceled,0,"" 
